Purchase Rate,Party ID,Merchant Funding Currency,Currency Description,Issue Date,Transaction Currency,Valid From,Refund Rate,Merchant Currency Description,Valid To
,PO4041702830,,,141123,,151123,,,151123
,PO4041727841,,,141123,,151123,,,151123
3.7648250,,USD,UAE Dirham,,AED,,3.6729000,US Dollar,
359.9647150,,USD,Argentine Peso,,ARS,,349.9703000,US Dollar,
1.6166300,,USD,Australian Dollar,,AUD,,1.5715857,US Dollar,
114.1635000,,USD,Bangladeshi Taka,,BDT,,110.3000000,US Dollar,
1.8807151,,USD,Bulgarian Lev,,BGN,,1.8271000,US Dollar,
0.3864763,,USD,Bahraini Dinar,,BHD,,0.3770500,US Dollar,
1.4008170,,USD,Brunei Dollar,,BND,,1.3618000,US Dollar,
7.1583600,,USD,Bolivian Boliviano,,BOB,,6.8550000,US Dollar,
5.0488037,,USD,Brazilian Real,,BRL,,4.9069000,US Dollar,
1.4222098,,USD,Canadian Dollar,,CAD,,1.3827000,US Dollar,
0.9277070,,USD,Swiss Franc,,CHF,,0.9019000,US Dollar,
950.3134300,,USD,Chilean Peso,,CLP,,923.3500000,US Dollar,
7.4753250,,USD,Chinese Yuan Renminbi,,CNY,,7.2922000,US Dollar,
4172.3982300,,USD,Colombian Peso,,COP,,4016.4200000,US Dollar,
549.4041300,,USD,Costa Rican Colon,,CRC,,531.6200000,US Dollar,
23.6038693,,USD,Czech Koruna,,CZK,,22.9401000,US Dollar,
7.1710106,,USD,Danish Krone,,DKK,,6.9718000,US Dollar,
31.8116079,,USD,Egyptian Pound,,EGP,,30.8701000,US Dollar,
12.3291438,,USD,Ghana Cedi,,GHS,,11.8800000,US Dollar,
8.0022775,,USD,Hong Kong Dollar,,HKD,,7.8068000,US Dollar,
7.2440341,,USD,Croatian Kuna,,HRK,,7.0428000,US Dollar,
362.8753700,,USD,Hungarian Forint,,HUF,,352.5500000,US Dollar,
16159.7920000,,USD,Indonesian Rupiah,,IDR,,15712.0000000,US Dollar,
3.9550968,,USD,New Israeli Sheqel,,ILS,,3.8438000,US Dollar,
85.6001009,,USD,Indian Rupee,,INR,,83.2276000,US Dollar,
148.0937150,,USD,Iceland Krona,,ISK,,143.7700000,US Dollar,
0.7286725,,USD,Jordanian Dinar,,JOD,,0.7081000,US Dollar,
156.0543050,,USD,Japanese Yen,,JPY,,151.7200000,US Dollar,
157.1548000,,USD,Kenyan Shilling,,KES,,151.3000000,US Dollar,
4247.7055143,,USD,Cambodian Riel,,KHR,,4105.0005000,US Dollar,
1367.4010350,,USD,Korean Won,,KRW,,1328.8100000,US Dollar,
0.3177448,,USD,Kuwaiti Dinar,,KWD,,0.3088400,US Dollar,
21436.4598250,,USD,Laotian Kip,,LAK,,20609.0000000,US Dollar,
336.7309000,,USD,Sri Lanka Rupee,,LKR,,326.1700000,US Dollar,
10.5027335,,USD,Moroccan Dirham,,MAD,,10.2067000,US Dollar,
2162.1641250,,USD,Myanamar Kyat,,MMK,,2098.2500000,US Dollar,
18.0863782,,USD,Mexican Peso,,MXN,,17.5791000,US Dollar,
4.8576055,,USD,Malaysian Ringgit,,MYR,,4.7210000,US Dollar,
827.0888450,,USD,Nigerian Naira,,NGN,,803.1700000,US Dollar,
11.4295148,,USD,Norwegian Krone,,NOK,,11.1092000,US Dollar,
137.1360760,,USD,Nepalese Rupee,,NPR,,133.3200000,US Dollar,
1.7530254,,USD,New Zealand Dollar,,NZD,,1.7041581,US Dollar,
0.3946455,,USD,Rial Omani,,OMR,,0.3849800,US Dollar,
3.9211563,,USD,Peruvian Nuevo Sol,,PEN,,3.8009000,US Dollar,
57.7245625,,USD,Philippine Peso,,PHP,,55.9540000,US Dollar,
295.9508750,,USD,Pakistan Rupee,,PKR,,287.7500000,US Dollar,
4.2483221,,USD,Polish Zloty,,PLN,,4.1279000,US Dollar,
7656.8739500,,USD,Paraguayan Guarani,,PYG,,7441.8000000,US Dollar,
3.7324350,,USD,Qatari Rial,,QAR,,3.6414000,US Dollar,
4.7841706,,USD,New Romanian Leu,,RON,,4.6477000,US Dollar,
112.7040585,,USD,Serbian Dinar,,RSD,,109.5021000,US Dollar,
1278.7392954,,USD,Rwanda Franc,,RWF,,1222.6759000,US Dollar,
3.8446725,,USD,Saudi Riyal,,SAR,,3.7506000,US Dollar,
11.1633390,,USD,Swedish Krona,,SEK,,10.8512000,US Dollar,
37.1309070,,USD,Thai Baht,,THB,,36.0920000,US Dollar,
29.4477035,,USD,Turkish Lira,,TRY,,28.6261000,US Dollar,
33.2822600,,USD,New Taiwan Dollar,,TWD,,32.3340000,US Dollar,
2571.2500000,,USD,Tanzanian Shilling,,TZS,,2500.0000000,US Dollar,
37.3870035,,USD,Ukraine Hryvnia,,UAH,,36.2998000,US Dollar,
3879.5020000,,USD,Uganda Shilling,,UGX,,3770.9900000,US Dollar,
25063.5165000,,USD,Vietnamese Dong,,VND,,24366.0000000,US Dollar,
19.3055621,,USD,South African Rand,,ZAR,,18.7644000,US Dollar,
442.1086856,,GBP,Argentine Peso,,ARS,,429.7985462,Pound Sterling,
