Transaction Currency,Currency Description,Merchant Funding Currency,Merchant Currency Description,Purchase Rate,Refund Rate
AED,UAE Dirham,USD,US Dollar,3.7648250,3.6729000
ARS,Argentine Peso,USD,US Dollar,359.9647150,349.9703000
AUD,Australian Dollar,USD,US Dollar,1.6166300,1.5715857
BDT,Bangladeshi Taka,USD,US Dollar,114.1635000,110.3000000
BGN,Bulgarian Lev,USD,US Dollar,1.8807151,1.8271000
BHD,Bahraini Dinar,USD,US Dollar,0.3864763,0.3770500
BND,Brunei Dollar,USD,US Dollar,1.4008170,1.3618000
BOB,Bolivian Boliviano,USD,US Dollar,7.1583600,6.8550000
BRL,Brazilian Real,USD,US Dollar,5.0488037,4.9069000
CAD,Canadian Dollar,USD,US Dollar,1.4222098,1.3827000
CHF,Swiss Franc,USD,US Dollar,0.9277070,0.9019000
CLP,Chilean Peso,USD,US Dollar,950.3134300,923.3500000
CNY,Chinese Yuan Renminbi,USD,US Dollar,7.4753250,7.2922000
COP,Colombian Peso,USD,US Dollar,4172.3982300,4016.4200000
CRC,Costa Rican Colon,USD,US Dollar,549.4041300,531.6200000
CZK,Czech Koruna,USD,US Dollar,23.6038693,22.9401000
DKK,Danish Krone,USD,US Dollar,7.1710106,6.9718000
EGP,Egyptian Pound,USD,US Dollar,31.8116079,30.8701000
GHS,Ghana Cedi,USD,US Dollar,12.3291438,11.8800000
HKD,Hong Kong Dollar,USD,US Dollar,8.0022775,7.8068000
HRK,Croatian Kuna,USD,US Dollar,7.2440341,7.0428000
HUF,Hungarian Forint,USD,US Dollar,362.8753700,352.5500000
IDR,Indonesian Rupiah,USD,US Dollar,16159.7920000,15712.0000000
ILS,New Israeli Sheqel,USD,US Dollar,3.9550968,3.8438000
INR,Indian Rupee,USD,US Dollar,85.6001009,83.2276000
ISK,Iceland Krona,USD,US Dollar,148.0937150,143.7700000
JOD,Jordanian Dinar,USD,US Dollar,0.7286725,0.7081000
JPY,Japanese Yen,USD,US Dollar,156.0543050,151.7200000
KES,Kenyan Shilling,USD,US Dollar,157.1548000,151.3000000
KHR,Cambodian Riel,USD,US Dollar,4247.7055143,4105.0005000
KRW,Korean Won,USD,US Dollar,1367.4010350,1328.8100000
KWD,Kuwaiti Dinar,USD,US Dollar,0.3177448,0.3088400
LAK,Laotian Kip,USD,US Dollar,21436.4598250,20609.0000000
LKR,Sri Lanka Rupee,USD,US Dollar,336.7309000,326.1700000
MAD,Moroccan Dirham,USD,US Dollar,10.5027335,10.2067000
MMK,Myanamar Kyat,USD,US Dollar,2162.1641250,2098.2500000
MXN,Mexican Peso,USD,US Dollar,18.0863782,17.5791000
MYR,Malaysian Ringgit,USD,US Dollar,4.8576055,4.7210000
NGN,Nigerian Naira,USD,US Dollar,827.0888450,803.1700000
NOK,Norwegian Krone,USD,US Dollar,11.4295148,11.1092000
NPR,Nepalese Rupee,USD,US Dollar,137.1360760,133.3200000
NZD,New Zealand Dollar,USD,US Dollar,1.7530254,1.7041581
OMR,Rial Omani,USD,US Dollar,0.3946455,0.3849800
PEN,Peruvian Nuevo Sol,USD,US Dollar,3.9211563,3.8009000
PHP,Philippine Peso,USD,US Dollar,57.7245625,55.9540000
PKR,Pakistan Rupee,USD,US Dollar,295.9508750,287.7500000
PLN,Polish Zloty,USD,US Dollar,4.2483221,4.1279000
PYG,Paraguayan Guarani,USD,US Dollar,7656.8739500,7441.8000000
QAR,Qatari Rial,USD,US Dollar,3.7324350,3.6414000
RON,New Romanian Leu,USD,US Dollar,4.7841706,4.6477000
RSD,Serbian Dinar,USD,US Dollar,112.7040585,109.5021000
RWF,Rwanda Franc,USD,US Dollar,1278.7392954,1222.6759000
SAR,Saudi Riyal,USD,US Dollar,3.8446725,3.7506000
SEK,Swedish Krona,USD,US Dollar,11.1633390,10.8512000
THB,Thai Baht,USD,US Dollar,37.1309070,36.0920000
TRY,Turkish Lira,USD,US Dollar,29.4477035,28.6261000
TWD,New Taiwan Dollar,USD,US Dollar,33.2822600,32.3340000
TZS,Tanzanian Shilling,USD,US Dollar,2571.2500000,2500.0000000
UAH,Ukraine Hryvnia,USD,US Dollar,37.3870035,36.2998000
UGX,Uganda Shilling,USD,US Dollar,3879.5020000,3770.9900000
VND,Vietnamese Dong,USD,US Dollar,25063.5165000,24366.0000000
ZAR,South African Rand,USD,US Dollar,19.3055621,18.7644000
ARS,Argentine Peso,GBP,Pound Sterling,442.1086856,429.7985462
